nc_072320.1 stipa tianschanica chloroplast, complete genome
nc_050753.1 dendrocalamus pachystachyus chloroplast, complete genome
nc_050757.1 dendrocalamus sapidus chloroplast, complete genome
nc_050759.1 dendrocalamus ovatus chloroplast, complete genome
nc_043933.1 fargesia decurvata chloroplast, complete genome
nc_043934.1 fargesia communis chloroplast, complete genome
nc_043937.1 fargesia fungosa chloroplast, complete genome
nc_043940.1 fargesia funiushanensis chloroplast, complete genome
nc_040002.1 fargesia qinlingensis chloroplast, complete genome
nc_043935.1 fargesia stenoclada chloroplast, complete genome
nc_024717.1 fargesia yunnanensis chloroplast, complete genome
nc_043939.1 fargesia setosa chloroplast, complete genome
nc_034747.1 fargesia denudata chloroplast, complete genome
nc_043945.1 fargesia edulis chloroplast, complete genome
nc_072282.1 fargesia angustissima chloroplast, complete genome
nc_043891.1 fargesia albocerea chloroplast, complete genome
nc_063836.1 fargesia dracocephala chloroplast, complete genome
nc_024715.1 fargesia nitida chloroplast, complete genome
nc_043936.1 fargesia canaliculata chloroplast, complete genome
nc_043944.1 fargesia grossa chloroplast, complete genome
nc_043938.1 fargesia hygrophila chloroplast, complete genome
nc_043942.1 fargesia daminiu chloroplast, complete genome
nc_024716.1 fargesia spathacea chloroplast, complete genome
nc_061342.1 eriocaulon schochianum chloroplast, complete genome
nc_066098.1 eriocaulon tonkinense isolate le10 chloroplast, complete genome
nc_061339.1 eriocaulon australe chloroplast, complete genome
nc_066092.1 eriocaulon fistulosum isolate enc850881 chloroplast, complete genome
nc_066099.1 eriocaulon nantoense isolate le12 chloroplast, complete genome
nc_066100.1 eriocaulon oryzetorum isolate le17 chloroplast, complete genome
nc_061304.1 eriocaulon cinereum chloroplast, complete genome
nc_042211.1 eriocaulon buergerianum chloroplast, complete genome
nc_066097.1 eriocaulon miquelianum isolate le09 chloroplast, complete genome
nc_066094.1 eriocaulon sp. le02 chloroplast, complete genome
nc_066093.1 eriocaulon truncatum isolate le01 chloroplast, complete genome
nc_066095.1 eriocaulon faberi isolate le07 chloroplast, complete genome
nc_061338.1 eriocaulon alpestre chloroplast, complete genome
nc_066096.1 eriocaulon nepalense isolate le08 chloroplast, complete genome
nc_044895.1 eriocaulon decemflorum chloroplast, complete genome
nc_066101.1 eriocaulon sp. le23 chloroplast, complete genome
nc_061340.1 eriocaulon brownianum chloroplast, complete genome
nc_061341.1 eriocaulon henryanum chloroplast, complete genome
nc_058745.1 leymus triticoides isolate pi516195 chloroplast, complete genome
nc_058748.1 leymus duthiei isolate zy13006 chloroplast, complete genome
nc_063960.1 leymus arenarius isolate la1 chloroplast, complete genome
nc_058744.1 leymus komarovii isolate zy06001 chloroplast, complete genome
nc_068583.1 leymus angustus chloroplast, complete genome
nc_059966.1 leymus paboanus plastid, complete genome
nc_068542.1 leymus coreanus chloroplast, complete genome
nc_068584.1 leymus karelinii chloroplast, complete genome
nc_058747.1 leymus racemosus isolate pi 598806 chloroplast, complete genome
nc_044900.1 leymus chinensis chloroplast, complete genome
nc_063961.1 leymus mollis isolate nf4 chloroplast, complete genome
nc_058746.1 leymus multicaulis isolate pi236818 chloroplast, complete genome
nc_068544.1 leymus cinereus chloroplast, complete genome
nc_068586.1 leymus secalinus chloroplast, complete genome
nc_068585.1 leymus ramosus chloroplast, complete genome
nc_068543.1 leymus condensatus chloroplast, complete genome
nc_061202.1 sparganium fluctuans chloroplast, complete genome
nc_061200.1 sparganium erectum subsp. microcarpum chloroplast, complete genome
nc_061203.1 sparganium gramineum chloroplast, complete genome
nc_061352.1 sparganium subglobosum chloroplast, complete genome
nc_061201.1 sparganium erectum subsp. neglectum chloroplast, complete genome
nc_061351.1 sparganium confertum chloroplast, complete genome
nc_058795.1 sparganium angustifolium chloroplast, complete genome
nc_058576.1 sparganium eurycarpum chloroplast, complete genome
nc_044634.1 sparganium stoloniferum chloroplast, complete genome
nc_058794.1 sparganium glomeratum voucher xu3795 chloroplast, complete genome
nc_058577.1 sparganium natans chloroplast, complete genome
nc_061197.1 sparganium emersum chloroplast, complete genome
nc_061199.1 sparganium hyperboreum chloroplast, complete genome
nc_061198.1 sparganium erectum chloroplast, complete genome
nc_066045.1 elymus pendulinus chloroplast, complete genome
nc_058753.1 elymus repens chloroplast, complete genome
nc_061050.1 elymus atratus voucher cy201201 chloroplast, complete genome
nc_059957.1 elymus lolioides plastid, complete genome
nc_049159.1 elymus dahuricus chloroplast, complete genome
nc_058919.1 elymus sibiricus chloroplast, complete genome
nc_066042.1 elymus strictus chloroplast, complete genome
nc_058750.1 elymus virginicus isolate pi 883297 chloroplast, complete genome
nc_058749.1 elymus hystrix isolate pi 372546 chloroplast, complete genome
nc_059974.1 elymus antiquus plastid, complete genome
nc_051511.1 elymus kamoji chloroplast, complete genome
nc_058918.1 elymus nutans chloroplast, complete genome
nc_066043.1 elymus gmelinii chloroplast, complete genome
nc_050404.1 elymus trachycaulus voucher dek:friberg 1407 chloroplast, complete genome
nc_061300.1 carex gibba chloroplast, complete genome
nc_066809.1 carex littledalei chloroplast, complete genome
nc_061332.1 carex sp. scsb-b-000526 chloroplast, complete genome
nc_088442.1 carex tibetikobresia chloroplast, complete genome
nc_061251.1 carex alatauensis chloroplast, complete genome
nc_061255.1 carex sargentiana chloroplast, complete genome
nc_061253.1 carex kokanica chloroplast, complete genome
nc_081502.1 carex giraldiana chloroplast, complete genome
nc_072263.1 carex breviculmis chloroplast, complete genome
nc_061252.1 carex capillifolia chloroplast, complete genome
nc_036037.1 carex neurocarpa voucher pdbk 2014-0675 chloroplast, complete genome
nc_060382.1 carex agglomerata chloroplast, complete sequence
nc_068625.1 carex lithophila chloroplast, complete genome
nc_063519.1 carex myosuroides chloroplast, complete genome
nc_027250.1 carex siderosticta plastid, complete genome
nc_061254.1 carex microglochin chloroplast, complete genome
nc_060846.1 carex laevissima chloroplast, complete genome
nc_059844.1 themeda tremula voucher k:5686 chloroplast, complete genome
nc_035014.1 themeda arundinacea chloroplast, complete genome
nc_066807.1 themeda avenacea voucher t102_jobson_2028 chloroplast, complete genome
nc_071817.1 themeda japonica chloroplast, complete genome
nc_035021.1 themeda villosa chloroplast, complete genome
nc_035492.1 themeda quadrivalvis isolate al95 chloroplast, complete genome
nc_059840.1 themeda huttonensis voucher k:6717 chloroplast, complete genome
nc_059842.1 themeda mooneyi voucher k:4034 chloroplast, complete genome
nc_059838.1 themeda anathera voucher k chloroplast, complete genome
nc_035019.1 themeda arguens chloroplast, complete genome
nc_059843.1 themeda strigosa voucher k:4514 chloroplast, complete genome
nc_059841.1 themeda minor voucher pe:097614 chloroplast, complete genome
nc_035016.1 themeda triandra chloroplast, complete genome
nc_059839.1 themeda cymbaria voucher k:13491 chloroplast, complete genome
nc_015817.1 phyllostachys edulis chloroplast, complete genome
nc_053647.1 phyllostachys angusta chloroplast, complete genome
nc_051535.1 phyllostachys glauca chloroplast, complete genome
nc_071867.1 phyllostachys aureosulcata voucher icbrg2112 chloroplast, complete genome
nc_066717.1 phyllostachys bissetii chloroplast, complete genome
nc_024669.1 phyllostachys sulphurea chloroplast, complete genome
nc_068835.1 phyllostachys violascens chloroplast, complete genome
nc_067630.1 phyllostachys incarnata chloroplast, complete genome
nc_062168.1 phyllostachys makinoi voucher personal collection:kung,k.n.3155 chloroplast, complete genome
nc_064526.1 phyllostachys heteroclada chloroplast, complete genome
nc_067631.1 phyllostachys praecox cultivar prevernalis chloroplast, complete genome
nc_062169.1 phyllostachys lithophila voucher personal collection:kung,k.n.3155 chloroplast, complete genome
nc_015826.1 phyllostachys nigra var. henonis chloroplast, complete genome
nc_016699.1 phyllostachys propinqua chloroplast, complete genome
nc_039459.1 paspalum juergensii chloroplast, complete genome
nc_039461.1 paspalum simplex chloroplast, complete genome
nc_030614.1 paspalum dilatatum voucher can:peterson 19673 chloroplast, complete genome
nc_039448.1 paspalum pubiflorum chloroplast, complete genome
nc_039464.1 paspalum ionanthum chloroplast, complete genome
nc_039462.1 paspalum vaginatum chloroplast, complete genome
nc_039449.1 paspalum virgatum chloroplast, complete genome
nc_030496.1 paspalum glaziovii voucher si:filgueiras 3482 chloroplast, complete genome
nc_039460.1 paspalum minus chloroplast, complete genome
nc_036114.1 paspalum paniculatum voucher k:msv500 chloroplast, complete genome
nc_030495.1 paspalum fimbriatum voucher si:morrone 3651 chloroplast, complete genome
nc_039463.1 paspalum inaequivalve chloroplast, complete genome
nc_050409.1 poa wolfii voucher ills:hill & traeger 30229 chloroplast, complete genome
nc_036974.1 poa nemoralis plastid, complete genome
nc_050408.1 poa saltuensis voucher ills:taft & solecki 780 chloroplast, complete genome
nc_057962.1 poa pratensis chloroplast, complete genome
nc_042707.1 poa sp. pi 374046 plastid, complete genome
nc_050407.1 poa alsodes voucher ills:spyreas et al. 192 chloroplast, complete genome
nc_059956.1 poa diaphora plastid, complete genome
nc_036975.1 poa trivialis plastid, complete genome
nc_027484.1 poa palustris voucher can:saarela 1080 plastid, complete genome
nc_067045.1 poa supina voucher po_s_1 chloroplast, complete genome
nc_036973.1 poa annua plastid, complete genome
nc_061303.1 cyperus glomeratus chloroplast, complete genome
nc_087701.1 cyperus stolonifer chloroplast, complete genome
nc_054301.1 cyperus iria chloroplast, complete genome
nc_061335.1 cyperus simaoensis chloroplast, complete genome
nc_061336.1 cyperus sp. yangqe3368 chloroplast, complete genome
nc_050170.1 cyperus rotundus isolate xfz01 chloroplast, complete genome
nc_061312.1 cyperus flavidus chloroplast, complete genome
nc_058698.1 cyperus esculentus chloroplast, complete genome
nc_072297.1 cyperus papyrus chloroplast, complete genome
nc_061302.1 cyperus difformis chloroplast, complete genome
nc_082309.1 cyperus malaccensis chloroplast, complete genome
nc_084247.1 cyperus amuricus chloroplast, complete genome
nc_061334.1 cyperus michelianus chloroplast, complete genome
nc_051510.1 cyperus aromaticus chloroplast, complete genome
nc_054300.1 cyperus exaltatus chloroplast, complete genome
nc_084384.1 cyperus microiria chloroplast, complete genome
nc_046696.1 aegilops umbellulata isolate cn108095 chloroplast, complete genome
nc_022133.1 aegilops tauschii chloroplast, complete genome
nc_024815.1 aegilops searsii cultivar ta1837 chloroplast, complete genome
nc_023097.1 aegilops geniculata chloroplast, complete genome
nc_024816.1 aegilops sharonensis cultivar ta1995 chloroplast, complete genome
nc_024831.1 aegilops bicornis cultivar clae57 chloroplast, complete genome
nc_024830.1 aegilops longissima cultivar ta1924 chloroplast, complete genome
nc_046697.1 aegilops comosa isolate cn034253 chloroplast, complete genome
nc_023096.1 aegilops cylindrica chloroplast, complete genome
nc_022135.1 aegilops speltoides isolate spe0661 chloroplast, complete genome
nc_024832.1 aegilops kotschyi cultivar ta1980 chloroplast, complete genome
nc_062150.1 puya goudotiana chloroplast, complete genome
nc_062148.1 puya raimondii chloroplast, complete genome
nc_062147.1 puya macrura chloroplast, complete genome
nc_062152.1 puya hutchisonii chloroplast, complete genome
nc_062151.1 puya ferruginea chloroplast, complete genome
nc_062146.1 puya nitida chloroplast, complete genome
nc_045380.1 puya mirabilis isolate s80 plastid, complete genome
nc_062149.1 puya santosii chloroplast, complete genome
nc_062153.1 puya macropoda chloroplast, complete genome
nc_062154.1 puya hamata chloroplast, complete genome
nc_071364.1 juncus validus voucher ncu00434802 chloroplast, complete genome
nc_061311.1 juncus tenuis chloroplast, complete genome
nc_071363.1 juncus roemerianus voucher ncu00441655 chloroplast, complete genome
nc_059754.1 juncus effusus chloroplast, complete genome
nc_061310.1 juncus himalensis chloroplast, complete genome
nc_061307.1 juncus bufonius chloroplast, complete genome
nc_061347.1 juncus grisebachii chloroplast, complete genome
nc_061308.1 juncus compressus chloroplast, complete genome
nc_061309.1 juncus gracilicaulis chloroplast, complete genome
nc_061306.1 juncus alatus chloroplast, complete genome
nc_036130.1 aristida rufescens voucher k:msv330 chloroplast, complete genome
nc_046413.1 aristida glaziovii voucher k:msb 102502 chloroplast, complete genome
nc_046732.1 aristida diffusa bio-material usda:grin:pi409113 chloroplast, complete genome
nc_046730.1 aristida stipitata voucher k:msb 90951 chloroplast, complete genome
nc_042836.1 aristida pruinosa chloroplast, complete genome
nc_037164.1 aristida ternipes chloroplast, complete genome
nc_025228.1 aristida purpurea plastid, complete genome
nc_046729.1 aristida behriana bio-material usda:grin:pi369426 chloroplast, complete genome
nc_046731.1 aristida congesta bio-material usda:grin:pi364388 chloroplast, complete genome
nc_060728.1 aristida adscensionis voucher 20061013-1 chloroplast, complete genome
nc_059825.1 schizachyrium delavayi voucher k:5236 chloroplast, complete genome
nc_035013.1 schizachyrium brevifolium chloroplast, complete genome
nc_035039.1 schizachyrium spicatum chloroplast, complete genome
nc_087635.1 schizachyrium condensatum voucher welker 235 chloroplast, complete genome
nc_087646.1 schizachyrium rupestre voucher cch jongkind 3174 chloroplast, complete genome
nc_087650.1 schizachyrium yangambiense isolate tk782 chloroplast, complete genome
nc_087639.1 schizachyrium hatschbachii voucher welker 423 chloroplast, complete genome
nc_035043.1 schizachyrium tenerum chloroplast, complete genome
nc_087642.1 schizachyrium nodulosum isolate tk771 chloroplast, complete genome
nc_035032.1 schizachyrium scoparium chloroplast, complete genome
nc_087637.1 schizachyrium gracilipes isolate tk760 chloroplast, complete genome
nc_087648.1 schizachyrium semitectum voucher peterson garcia 20211 chloroplast, complete genome
nc_087649.1 schizachyrium sulcatum isolate tk780 chloroplast, complete genome
nc_040130.1 schizachyrium cirratum isolate tk668 chloroplast, complete genome
nc_087644.1 schizachyrium pulchellum isolate tk773 chloroplast, complete genome
nc_087698.1 schizachyrium platyphyllum chloroplast, complete genome
nc_087645.1 schizachyrium ruderale isolate tk775 chloroplast, complete genome
nc_035045.1 schizachyrium imberbe chloroplast, complete genome
nc_087636.1 schizachyrium fragile isolate tk535 chloroplast, complete genome
nc_087647.1 schizachyrium scabriflorum isolate tk681 chloroplast, complete genome
nc_087638.1 schizachyrium gresicola voucher jacques felix 7171 chloroplast, complete genome
nc_035015.1 schizachyrium sanguineum chloroplast, complete genome
nc_087633.1 schizachyrium crinizonatum voucher bm stuckey 281 chloroplast, complete genome
nc_087641.1 schizachyrium malacostachyum isolate tk651 chloroplast, complete genome
nc_087632.1 schizachyrium delicatum isolate tk758 chloroplast, complete genome
nc_087634.1 schizachyrium djalonicum isolate tk794 chloroplast, complete genome
nc_087640.1 schizachyrium maclaudii voucher msm sosef 2717 chloroplast, complete genome
nc_035029.1 schizachyrium exile chloroplast, complete genome
nc_073108.1 schizachyrium glaziovii chloroplast, complete genome
nc_087643.1 schizachyrium pseudeulalia isolate tk698 chloroplast, complete genome
nc_060394.1 cleistogenes hackelii chloroplast, complete sequence
nc_060392.1 cleistogenes festucacea chloroplast, complete sequence
nc_060397.1 cleistogenes songorica chloroplast, complete sequence
nc_060393.1 cleistogenes gracilis chloroplast, complete sequence
nc_060395.1 cleistogenes hancei chloroplast, complete sequence
nc_060398.1 cleistogenes squarrosa chloroplast, complete sequence
nc_060396.1 cleistogenes polyphylla chloroplast, complete sequence
nc_060390.1 cleistogenes caespitosa chloroplast, complete sequence
nc_060391.1 cleistogenes chinensis chloroplast, complete sequence
nc_087653.1 andropogon amethystinus voucher vorontsova 1622 chloroplast, complete genome
nc_040129.1 andropogon ascinodis isolate tk547 chloroplast, complete genome
nc_040111.1 andropogon gerardii isolate tk416 chloroplast, complete genome
nc_035012.1 andropogon chinensis chloroplast, complete genome
nc_087654.1 andropogon chevalieri isolate tk389 chloroplast, complete genome
nc_086841.1 andropogon tenuiberbis isolate tk469 chloroplast, complete genome
nc_040127.1 andropogon gayanus isolate tk480 chloroplast, complete genome
nc_087652.1 andropogon angustatus isolate tk371 chloroplast, complete genome
nc_087661.1 andropogon macrophyllus isolate tk446 chloroplast, complete genome
nc_087664.1 andropogon pteropholis isolate tk729 chloroplast, complete genome
nc_035030.1 andropogon abyssinicus chloroplast, complete genome
nc_035041.1 andropogon distachyos chloroplast, complete genome
nc_087666.1 andropogon textilis isolate tk739 chloroplast, complete genome
nc_087659.1 andropogon leprodes isolate tk720 chloroplast, complete genome
nc_087660.1 andropogon lima voucher katende 911 chloroplast, complete genome
nc_087658.1 andropogon kelleri isolate tk717 chloroplast, complete genome
nc_035038.1 andropogon burmanicus chloroplast, complete genome
nc_087662.1 andropogon pringlei voucher pm peterson 19125 chloroplast, complete genome
nc_087656.1 andropogon festuciformis isolate tk408 chloroplast, complete genome
nc_087651.1 andropogon andringitrensis isolate tk523 chloroplast, complete genome
nc_087663.1 andropogon pseudapricus voucher kew 183921 chloroplast, complete genome
nc_087657.1 andropogon itremoensis isolate tk526 chloroplast, complete genome
nc_035010.1 andropogon fastigiatus chloroplast, complete genome
nc_040128.1 andropogon greenwayi isolate tk427 chloroplast, complete genome
nc_042237.1 sporobolus helvolus voucher supg006 chloroplast, complete genome
nc_029417.1 sporobolus heterolepis voucher dek:m.r. duvall:s.n. plastid, complete genome
nc_029416.1 sporobolus michauxianus voucher can:p.m.peterson:20865 plastid, complete genome
nc_068124.1 sporobolus diandrus voucher 06 chloroplast, complete genome
nc_068125.1 sporobolus fertilis voucher 17 chloroplast, complete genome
nc_027650.1 sporobolus maritimus chloroplast, complete genome
nc_068109.1 sporobolus aculeatus voucher 9408-008 chloroplast, complete genome
nc_068126.1 sporobolus virginicus voucher 18 chloroplast, complete genome
nc_005878.2 saccharum hybrid cultivar sp-80-3280 chloroplast, complete genome
nc_035224.1 saccharum officinarum chloroplast complete genome, cultivar ij76-514
nc_072524.1 saccharum barberi isolate mungo chloroplast, complete genome
nc_034802.1 saccharum spontaneum chloroplast, complete genome
nc_082231.1 saccharum fulvum chloroplast, complete genome
nc_030777.1 saccharum arundinaceum chloroplast dna, complete genome, isolate: jw630
nc_070069.1 saccharum narenga chloroplast, complete genome
nc_036118.1 saccharum hildebrandtii voucher tan:lrk2008 chloroplast, complete genome
nc_072525.1 saccharum sinense isolate tanzhou chloroplast, complete genome
nc_029221.1 saccharum hybrid cultivar cultivar q155 chloroplast, complete genome
nc_006084.1 saccharum hybrid cultivar nco 310 chloroplast, complete genome
nc_025955.1 triticum macha chloroplast dna, complete genome
nc_046698.1 triticum zhukovskyi isolate cn036212 chloroplast, complete genome
nc_024764.1 triticum timopheevii cultivar tim01 chloroplast, complete genome
nc_021762.1 triticum urartu chloroplast, complete genome
nc_024814.1 triticum turgidum cultivar ta2836 chloroplast, complete genome
nc_021760.1 triticum monococcum chloroplast, complete genome
nc_085288.1 triticum monococcum subsp. sinskajae voucher vir k-48993 chloroplast, complete genome
nc_002762.1 triticum aestivum chloroplast, complete genome
nc_036120.1 panicum pygmaeum isolate awecm chloroplast, complete genome
nc_029732.1 panicum miliaceum plastid, complete genome
nc_036121.1 panicum lycopodioides voucher gb04-2013 chloroplast, complete genome
nc_015990.1 panicum virgatum chloroplast, complete genome
nc_032378.1 panicum sumatrense chloroplast, complete genome
nc_030493.1 panicum capillare voucher can:saarela 769 chloroplast, complete genome
nc_039619.1 panicum incomtum chloroplast, complete genome
nc_059831.1 iseilema anthephoroides voucher k:iaw5 chloroplast, complete genome
nc_059834.1 iseilema membranaceum voucher k:12750 chloroplast, complete genome
nc_059835.1 iseilema prostratum voucher k:h4043-66 chloroplast, complete genome
nc_059832.1 iseilema hubbardii voucher k:iaw3 chloroplast, complete genome
nc_059833.1 iseilema laxum voucher k:2833 chloroplast, complete genome
nc_030611.1 iseilema macratherum voucher pi<ita>:257760 chloroplast, complete genome
nc_059836.1 iseilema vaginiflorum voucher k:3131 chloroplast, complete genome
nc_036127.1 echinochloa ugandensis voucher k:msv706 chloroplast, complete genome
nc_032383.1 echinochloa colona isolate qbg1-02 chloroplast, complete genome
nc_029827.1 echinochloa frumentacea cultivar co(kv)2 chloroplast, complete genome
nc_028719.1 echinochloa crus-galli chloroplast, complete genome
nc_032379.1 echinochloa esculenta chloroplast, complete genome
nc_036128.1 echinochloa stagnina voucher k:rch49 chloroplast, complete genome
nc_024643.2 echinochloa oryzicola chloroplast, complete genome
nc_080535.1 cymbopogon winterianus chloroplast, complete genome
nc_070103.1 cymbopogon nardus voucher lsy12 plastid, complete genome
nc_035040.1 cymbopogon flexuosus chloroplast, complete genome
nc_059822.1 cymbopogon obtectus voucher k:4370 chloroplast, complete genome
nc_059823.1 cymbopogon pospischilii voucher k:5561 chloroplast, complete genome
nc_042144.1 cymbopogon citratus voucher supg010 chloroplast, complete genome
nc_059821.1 cymbopogon densiflorus voucher k:t73 chloroplast, complete genome
nc_059824.1 cymbopogon schoenanthus voucher k chloroplast, complete genome
nc_030767.1 ampelocalamus naibunensis chloroplast, complete genome
nc_063907.1 ampelocalamus sinovietnamensis voucher bh84 chloroplast, complete genome
nc_043931.1 ampelocalamus saxatilis chloroplast, complete genome
nc_043932.1 ampelocalamus melicoideus chloroplast, complete genome
nc_036815.1 ampelocalamus actinotrichus voucher mpf10003 plastid, complete genome
nc_059867.1 ampelocalamus scandens chloroplast, complete genome
nc_024731.1 ampelocalamus calcareus plastid, complete genome
nc_029418.1 zoysia macrantha voucher rsa:j.t. columbus:5085 plastid, complete genome
nc_053873.1 zoysia matrella voucher ib-01031 chloroplast, complete genome
nc_042187.1 zoysia sinica chloroplast, complete genome
nc_042189.1 zoysia macrostachya chloroplast, complete genome
nc_036827.2 zoysia japonica plastid, complete genome
nc_042188.1 zoysia tenuifolia chloroplast, complete genome
nc_043893.1 yushania confusa chloroplast, complete genome
nc_062890.1 yushania niitakayamensis voucher personal collection:kung,k.n.3189 chloroplast, complete genome
nc_024725.1 yushania levigata chloroplast, complete genome
nc_043894.1 yushania brevipaniculata chloroplast, complete genome
nc_043947.1 yushania glandulosa chloroplast, complete genome
nc_043946.1 yushania violascens chloroplast, complete genome
nc_067033.1 pleioblastus triangulata voucher nzy040 chloroplast, complete genome
nc_069216.1 pleioblastus argenteostriatus chloroplast, complete genome
nc_024723.1 pleioblastus maculatus chloroplast, complete genome
nc_043892.1 pleioblastus amarus chloroplast, complete genome
nc_069220.1 pleioblastus ovatoauritas chloroplast, complete genome
nc_069217.1 pleioblastus fortunei chloroplast, complete genome
nc_035751.1 miscanthus junceus complete chloroplast genome
nc_035753.1 miscanthus x giganteus complete chloroplast genome
nc_028721.1 miscanthus sinensis chloroplast, complete genome
nc_035750.1 miscanthus floridulus complete chloroplast genome, cultivar pi295762
nc_028720.1 miscanthus sacchariflorus chloroplast, complete genome
nc_030623.1 dichanthelium acuminatum voucher can:saarela 666 chloroplast, complete genome
nc_050411.1 dichanthelium dichotomum voucher eiu:edgin 3032 plastid, complete genome
nc_050414.1 dichanthelium commutatum voucher eiu:ebinger 14302 plastid, complete genome
nc_050413.1 dichanthelium boreale voucher ills:phillipe & ebinger 41703 plastid, complete genome
nc_050403.1 dichanthelium ravenelii voucher ill:taylor 13086 chloroplast, complete genome
nc_050412.1 dichanthelium portoricense voucher mich:brunton & mcintosh plastid, complete genome
nc_056904.1 chimonobambusa sichuanensis chloroplast, complete genome
nc_053872.1 chimonobambusa hejiangensis chloroplast, complete genome
nc_067555.1 chimonobambusa sangzhiensis voucher nzy109 chloroplast, complete genome
nc_060376.1 chimonobambusa purpurea chloroplast, complete sequence
nc_036814.1 chimonobambusa tumidissinoda voucher mpf10083 plastid, complete genome
nc_062708.1 chimonobambusa luzhiensis chloroplast, complete genome
nc_086743.1 cenchrus glaucus chloroplast, complete genome
nc_024171.1 cenchrus americanus plastid, complete genome
nc_086735.1 cenchrus longissimus chloroplast, complete genome
nc_036384.1 cenchrus purpureus chloroplast, complete genome
nc_082919.1 cenchrus fungigraminus plastid, complete genome
nc_057588.1 cenchrus centrasiaticus chloroplast, complete genome
nc_057571.1 cenchrus flaccidus chloroplast, complete genome
nc_086736.1 cenchrus massaicus chloroplast, complete genome
nc_064146.1 cenchrus alopecuroides chloroplast, complete genome
nc_086744.1 cenchrus purpurascens isolate liqiu chloroplast, complete genome
nc_086741.1 cenchrus orientalis chloroplast, complete genome
nc_086739.1 cenchrus longisetus chloroplast, complete genome
nc_086737.1 cenchrus clandestinus chloroplast, complete genome
nc_086740.1 cenchrus setaceus chloroplast, complete genome
nc_086742.1 cenchrus polystachios chloroplast, complete genome
nc_041434.1 cenchrus ciliaris voucher supg005 chloroplast, complete genome
nc_030068.1 urochloa ruziziensis chloroplast, complete genome
nc_030617.1 urochloa reptans voucher haw:morden 1221 chloroplast, complete genome
nc_030069.1 urochloa humidicola chloroplast, complete genome
nc_030067.1 urochloa brizantha chloroplast, complete genome
nc_030066.1 urochloa decumbens chloroplast, complete genome
nc_013823.1 typha latifolia chloroplast, complete genome
nc_061354.1 typha przewalskii chloroplast, complete genome
nc_061355.1 typha sp. 11cs3675 chloroplast, complete genome
nc_050678.1 typha orientalis chloroplast, complete genome
nc_061353.1 typha lugdunensis chloroplast, complete genome
nc_036821.1 oldeania itremoensis voucher 15cs10806 plastid, complete genome
nc_036813.1 oldeania alpina voucher dzl1506 plastid, complete genome
nc_036823.1 oldeania cf. madagascariensis voucher 15cs10839 plastid, complete genome
nc_036817.1 oldeania humbertii voucher 15cs10823 plastid, complete genome
nc_036818.1 oldeania ibityensis voucher 15cs10809 plastid, complete genome
nc_056925.1 indocalamus tongchunensis chloroplast, complete genome
nc_079918.1 indocalamus emeiensis chloroplast, complete genome
nc_084179.1 indocalamus hirtivaginatus chloroplast, complete genome
nc_024720.1 indocalamus wilsonii chloroplast, complete genome
nc_036819.1 indocalamus sinicus voucher zmy037 plastid, complete genome
nc_015803.1 indocalamus longiauritus plastid, complete genome
nc_056985.1 hordeum vulgare chloroplast, complete genome
nc_043839.1 hordeum bogdanii voucher pi531761 chloroplast, complete genome
nc_027476.1 hordeum jubatum voucher can:saarela 18478 plastid, complete genome
nc_008590.1 hordeum vulgare subsp. vulgare chloroplast, complete genome
nc_042692.1 hordeum vulgare subsp. spontaneum chloroplast, complete genome
nc_081960.1 hordeum pusillum chloroplast, complete genome
nc_050778.1 gigantochloa nigrociliata chloroplast, complete genome
nc_050779.1 gigantochloa verticillata chloroplast, complete genome
nc_050749.1 gigantochloa parviflora chloroplast, complete genome
nc_050765.1 gigantochloa albociliata chloroplast, complete genome
nc_050777.1 gigantochloa atroviolacea chloroplast, complete genome
nc_019649.1 festuca ovina plastid, complete genome
nc_059968.1 festuca alopecuros plastid, complete genome
nc_011713.2 festuca arundinacea chloroplast, complete genome
nc_019650.1 festuca pratensis plastid, complete genome
nc_019648.1 festuca altissima plastid, complete genome
nc_036836.1 brachypodium hybridum ecotype abr113 chloroplast, complete genome
nc_036837.1 brachypodium stacei chloroplast genome, ecotype abr114
nc_011032.1 brachypodium distachyon chloroplast, complete genome
nc_059961.1 brachypodium pinnatum plastid, complete genome
nc_058601.1 brachypodium sylvaticum chloroplast, complete genome
nc_024712.1 arundinaria fargesii chloroplast, complete genome
nc_020341.1 arundinaria gigantea chloroplast, complete genome
nc_023934.1 arundinaria appalachiana chloroplast, complete genome
nc_044488.1 arundinaria humbertii voucher tan:msv1223 chloroplast, complete genome
nc_023935.1 arundinaria tecta chloroplast, complete genome
nc_030300.1 zea perennis plastid, complete genome
nc_001666.2 zea mays chloroplast, complete genome
nc_030377.1 zea diploperennis plastid, complete genome
nc_030301.1 zea luxurians plastid, complete genome
nc_043837.1 thinopyrum bessarabicum voucher pi531712 chloroplast, complete genome
nc_043841.1 thinopyrum elongatum voucher pi531718 chloroplast, complete genome
nc_049154.1 thinopyrum ponticum voucher pi 636523 chloroplast, complete genome
nc_049153.1 thinopyrum intermedium voucher pi 634506 chloroplast, complete genome
nc_008602.1 sorghum bicolor chloroplast, complete genome
nc_042790.1 sorghum sudanense chloroplast, complete genome
nc_023800.1 sorghum timorense chloroplast, complete genome
nc_042789.1 sorghum propinquum chloroplast, complete genome
nc_082845.1 sorghum bicolor x sorghum bicolor subsp. drummondii chloroplast, complete genome
